name,region_id,capacity,lon,short_name,station_id,rental_uris,lat,region_name
Market St & St Francis St,104,12,-77.361516,32242,0136af02-2670-4042-b5cd-18b46c15c0c1,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.95866,"Fairfax, VA"
15th & Euclid St NW,42,15,-77.0352,31117,0825525a-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.92333,"Washington, DC"
Washington & Independence Ave SW/HHS,42,31,-77.013769,31272,08256e11-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.886978,"Washington, DC"
Georgia & Missouri Ave NW,42,19,-77.027855,31411,082605b0-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.961339,"Washington, DC"
7th & R St NW / Shaw Library,42,15,-77.022155,31245,082514b8-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.912719,"Washington, DC"
16th & R St NW,42,19,-77.036278,31282,0826183f-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.912652,"Washington, DC"
S Arlington Mill Dr & Campbell Ave,41,15,-77.089555,31060,08254dee-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.84232,"Arlington, VA"
12th & U St NW,42,31,-77.028139,31268,08256670-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.916787,"Washington, DC"
Anacostia Ave & Benning Rd NE / River Terrace ,42,15,-76.96012,31708,082518eb-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.896544,"Washington, DC"
Reservoir Rd & 38th St NW,42,19,-77.07432264076488,31325,7a19d0e7-2b3c-4805-b843-1aec84a05bfe,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.91261359469192,"Washington, DC"
12th & L St NW,42,19,-77.0284,31251,082537e4-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.903819,"Washington, DC"
Fenton St & New York Ave ,44,15,-77.023082,32001,08257325-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.985404,"Montgomery County, MD (South)"
Merrilee Dr & Lauren Elizabeth Lane,104,11,-77.23076596856116,32234,a77b8993-6d68-425e-a37a-0e613a7cb17a,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.87857249314831,"Fairfax, VA"
15th & F St NE,42,20,-76.983575,31632,0825610d-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.897195,"Washington, DC"
1st & H St NW,42,15,-77.012108,31638,0825e1e5-1f3f-11e7-bf6b-3863bb334450,"{'ios': 'https://dc.lft.to/lastmile_qr_scan', 'android': 'https://dc.lft.to/lastmile_qr_scan'}",38.900358,"Washington, DC"
